District,Population Approximate
Adilabad,2811000
Bhadradri Kothagudem,1219000
Hyderabad,6810000
Jagtial,1232000
Jangaon,587000
Jayashankar Bhoopalpally,683000
Jogulamba Gadwal,607000
Kamareddy,947000
Karimnagar,1200000
Khammam,1731000
Komaram Bheem Asifabad,589000
Mahabubabad,535000
Mahbubnagar,1798000
Mancherial,519000
Medak,1234000
Medchal,3735000
Mulugu,298000
Nagarkurnool,844000
Nalgonda,1692000
Narayanapet,347000
Nirmal,864000
Nizamabad,1808000
Peddapalli,702000
Rajanna Sircilla,605000
Ranga Reddy,5272000
Sangareddy,1169000
Siddipet,970000
Suryapet,1125000
Vikarabad,1063000
Wanaparthy,500000
Warangal (Rural),511000
Warangal (Urban),1124000
Yadadri Bhongir,994000
